x y xerr yerr logsfr logsfrerr d25 n pobs
8.744 40.54883865312531 0.32938731001664284 -1.0030930642790676 -0.957770815303661 0.3 23.77668205532637 1.0 0.4175745801801051
8.568 40.331400380069816 0.32938731001664284 -1.003109791743056 -1.6322137531621976 0.3 36.015587043852605 1.0 0.35233407107175135
7.087 39.07395891408173 0.5169535762522588 -1.0032101894058798 -3.162850036135602 0.3 94.20301765561759 1.0 0.013672780708975905
8.721 40.10893855846425 0.3611107863246403 -1.0031270939533758 -2.017955574767754 0.3 48.83443588382297 1.0 0.410765661680314
8.098 38.34681248728305 0.3419005703417296 -1.0032712613343269 -2.2951378071349424 0.3 35.987451856820336 4.0 0.18753403721617415
7.438 40.0137395649623 0.348832337950483 -1.0031345571234251 -2.3361841031145616 0.3 16.568067884093907 4.0 0.0401731004907367
6.665 38.77075154097778 0.32938731001664284 -1.0032353759762025 -3.171455 0.4242640687119285 30.179572626544534 1.0 0.002638516235549085
7.141 39.422776108479894 0.32938731001664284 -1.0031816949126682 -2.7559070000000006 0.4242640687119285 39.23344441450789 1.0 0.01641226780685777
8.215 40.065028273104076 0.3823205461389696 -1.0031305319004353 -2.1604954468526714 0.3 43.52322008981773 1.0 0.2246736704236156
8.033 40.54228463091324 0.32938731001664284 -1.003093565847368 -2.2434095023187766 0.3 23.793281863383662 1.0 0.16659025051662193
8.041 40.489632561015796 0.32938731001664284 -1.003097601131967 -1.7986909941460283 0.3 25.329620166115717 1.0 0.16916794734118243
7.259 39.80773612873744 0.4794538559653056 -1.0031508294409468 -2.6528929999999997 0.4242640687119285 42.897368902232586 1.0 0.022398554428155165
7.47 39.34670839704455 0.34731109973624513 -1.0031878655887212 -2.4686900000000005 0.4242640687119285 27.161615363890085 1.0 0.04421270180775634
7.112 39.23701106102987 0.32938731001664284 -1.0031968065930839 -2.937312555167118 0.3 16.09577206749042 1.0 0.014941061772810113
7.418 39.23701106102987 0.32938731001664284 -1.0031968065930839 -3.0109125612706293 0.3 22.634679469908402 4.0 0.03764834966759947
7.734 39.790243940863974 0.49920036057679285 -1.0031522189432291 -2.8048796936435494 0.3 51.01930452328669 1.0 0.08701435988866184
7.996 40.06386852207142 0.4158653628279229 -1.0031306228053802 -2.009492 0.4242640687119285 40.593882186389045 1.0 0.1546684027030312
8.259 40.516022349809134 0.32938731001664284 -1.0030955772884855 -1.7798929999999995 0.4242640687119285 26.3806420851694 1.0 0.23854205488285188
8.74 40.55598409659086 0.32938731001664284 -1.0030925176355787 -1.3599800000000002 0.4242640687119285 47.80739200217103 4.0 0.4163904204410111
8.545 40.51885262898981 0.32938731001664284 -1.003095360390254 -1.8326709231202543 0.3 28.865803762128948 1.0 0.34275374933332503
8.602 40.59743795034221 0.32938731001664284 -1.0030893501248932 -1.5076804522632727 0.3 26.89293254000249 1.0 0.3664962858155124
7.715 40.17225572766615 0.32938731001664284 -1.0031221498217835 -1.6403559577730178 0.3 32.746151288123514 1.0 0.08333275431183436
7.296 39.560898277018644 0.32938731001664284 -1.0031705511834093 -2.6205920000000003 0.4242640687119285 31.18555838076269 1.0 0.024275610402629762
6.818 39.03057208719974 0.34731109973624513 -1.0032137693571364 -3.0378860000000003 0.4242640687119285 36.215487151853445 1.0 0.004656222465313713
